date,mean,max,min
4/20/2021,14.41,20.36,8.79
4/19/2021,14.68,19.95,9.54
4/18/2021,14.51,20.49,8.74
4/17/2021,12.2,16.5,7.71
4/16/2021,11.67,15.83,7.71
4/15/2021,12.71,16.86,8.94
4/14/2021,14.16,18.95,9.67
4/13/2021,14.2,18.96,9.95
4/12/2021,13.73,18.12,9.9
4/11/2021,14.69,19.47,9.93
4/10/2021,15.56,21.08,10.71
4/9/2021,15.12,19.79,11.38
4/8/2021,16.22,22.32,11.06
4/7/2021,17.23,23.54,12.28
4/6/2021,16.79,22.9,11.12
4/5/2021,16.0,22.15,10.41
4/4/2021,14.73,21.29,8.61
4/3/2021,11.02,17.89,4.91
4/2/2021,8.33,13.47,3.12
4/1/2021,10.43,16.64,5.31
3/31/2021,13.77,19.65,8.39
3/30/2021,13.38,19.41,7.88
3/29/2021,11.88,17.69,6.4
3/28/2021,13.52,19.01,8.26
3/27/2021,14.61,20.98,9.36
3/26/2021,14.34,20.91,9.37
3/25/2021,13.13,17.74,9.23
3/24/2021,13.02,16.58,9.3
3/23/2021,12.91,18.45,8.41
3/22/2021,11.88,17.36,6.65
3/21/2021,11.13,17.44,4.89
3/20/2021,9.61,16.28,3.88
3/19/2021,8.09,12.55,3.99
3/18/2021,9.51,13.01,6.48
3/17/2021,9.12,13.55,4.77
3/16/2021,7.16,11.0,3.73
3/15/2021,6.34,10.54,2.4
3/14/2021,8.07,12.82,3.57
3/13/2021,9.85,14.99,4.98
3/12/2021,13.42,17.78,9.31
3/11/2021,13.21,18.95,8.32
3/10/2021,11.97,16.66,7.64
3/9/2021,12.18,18.34,6.54
3/8/2021,8.66,14.6,3.04
3/7/2021,6.88,12.22,2.15
3/6/2021,6.63,11.08,2.76
3/5/2021,6.47,12.03,1.51
3/4/2021,7.71,12.62,2.04
3/3/2021,8.22,14.94,2.29
3/2/2021,4.97,10.24,-0.01
3/1/2021,7.93,13.13,2.96
2/28/2021,10.07,13.94,6.62
2/27/2021,9.59,14.24,5.58
2/26/2021,7.71,12.45,3.31
2/25/2021,8.54,12.51,4.75
2/24/2021,10.17,15.98,5.08
2/23/2021,9.22,14.97,4.11
2/22/2021,6.97,11.98,2.47
2/21/2021,4.35,9.72,-1.05
2/20/2021,2.3,7.08,-2.32
2/19/2021,1.45,5.37,-2.28
2/18/2021,0.67,3.5,-1.98
2/17/2021,0.47,4.22,-3.92
2/16/2021,2.01,6.56,-2.33
2/15/2021,-0.33,2.36,-2.69
2/14/2021,-0.14,2.55,-2.74
2/13/2021,-0.31,2.01,-2.58
